time,lon,lat,v,u
1051896,6.0,44.0,-0.9695301491175912,-0.2665438984201245
1051896,6.25,44.0,-0.7571470785007834,-0.3289504799283942
1051896,6.5,44.0,-0.7835087116588331,-0.12051603347442796
1051896,6.75,44.0,-1.055950459557458,0.3106727832356855
1051896,7.0,44.0,-0.9392715788840039,0.23500701302169258
1051896,7.25,44.0,-0.8923937181812115,0.12893350337590825
1051896,7.5,44.0,-0.8586966740574438,0.0318762420500156
1051896,7.75,44.0,-1.1531446548532231,0.38244919142933287
1051896,8.0,44.0,-1.488166627553131,0.6593010516048301
1051896,6.0,43.75,-0.6683198363377905,-0.8305013913702113
1051896,6.25,43.75,-0.7424762565693472,-0.6323207175153378
1051896,6.5,43.75,-0.7601270892056065,-0.36802088931459176
1051896,6.75,43.75,-0.7000684119237892,0.08349868341096389
1051896,7.0,43.75,-0.49742768399582593,-0.1030139043828735
1051896,7.25,43.75,-0.4475698125882105,-0.23189321860250178
1051896,7.5,43.75,-0.5443055446986184,-0.35193307368498106
1051896,7.75,43.75,-0.7746832953407033,-0.07313653249931096
1051896,8.0,43.75,-1.096065988276229,0.21396910027527882
1051896,6.0,43.5,-0.5857964629734616,-1.0873760738957525
1051896,6.25,43.5,-0.8031080128328612,-0.9510716140009197
1051896,6.5,43.5,-1.010562604207077,-0.9042224805740315
1051896,6.75,43.5,-1.035434232012715,-0.7074561201811016
1051896,7.0,43.5,-0.8597282162244979,-0.7850665714052671
1051896,7.25,43.5,-0.7547401467776572,-0.7410460649022665
1051896,7.5,43.5,-0.7649409526518589,-0.7454657944708409
1051896,7.75,43.5,-0.9153168774490806,-0.48434817155946863
1051896,8.0,43.5,-0.9344577154377514,-0.2069659438357423
1051896,6.0,43.25,-0.8098703448168825,-1.0755311986519733
1051896,6.25,43.25,-0.8621351479476242,-0.9319783822646786
1051896,6.5,43.25,-1.0706212814888942,-0.8851292488377904
1051896,6.75,43.25,-1.0803636241777386,-0.9296801228890197
1051896,7.0,43.25,-0.9934848505525145,-0.8784112598935576
1051896,7.25,43.25,-0.8880383179203164,-0.8338603858423279
1051896,7.5,43.25,-0.7698694318944508,-0.7166491576837362
1051896,7.75,43.25,-0.6551390197587658,-0.5214738999354931
1051896,8.0,43.25,-0.6737067787657397,-0.2426773587498232
1051896,6.0,43.0,-1.0306203685664626,-0.9843079803565988
1051896,6.25,43.0,-1.0515950592965628,-0.8373961694971874
1051896,6.5,43.0,-0.985690976401439,-0.6903075694550331
1051896,6.75,43.0,-0.9524523954630286,-0.6903075694550331
1051896,7.0,43.0,-0.8504443367210109,-0.6204758422715586
1051896,7.25,43.0,-0.6829906582692268,-0.49106616050370144
1051896,7.5,43.0,-0.5486609449595135,-0.36360115974601737
1051896,7.75,43.0,-0.39977502551470334,-0.20113190080522414
1051896,8.0,43.0,-0.017416728926645808,-0.10442821784481748
1051896,6.0,42.75,-1.0530850646489742,-0.8457052610861071
1051896,6.25,42.75,-1.0379557795321805,-0.7348584435062624
1051896,6.5,42.75,-0.9451169844973105,-0.5497601691743688
1051896,6.75,42.75,-0.8055149445559874,-0.3920642181676359
1051896,7.0,42.75,-0.6555974829441231,-0.26159380130332144
1051896,7.25,42.75,-0.5281447174147705,-0.09664949380412646
1051896,7.5,42.75,-0.37146492381888485,0.043013960562822806
1051896,7.75,42.75,-0.21318050907424835,0.1230994603453901
1051896,8.0,42.75,0.18866247289149785,0.2344766454734637
1051896,6.0,42.5,-0.9524523954630286,-0.6049183941901766
1051896,6.25,42.5,-0.8875798547349589,-0.5365009804686456
1051896,6.5,42.5,-0.7298685189720191,-0.3685512568628204
1051896,6.75,42.5,-0.5847649208064074,-0.16984021545971784
1051896,7.0,42.5,-0.4641891030574157,-0.02522666397596507
1051896,7.25,42.5,-0.3455617538461928,0.1588108752594708
1051896,7.5,42.5,-0.24298061612247823,0.31933545319009116
1051896,7.75,42.5,-0.12481173009661273,0.4409664109172573
1051896,8.0,42.5,0.27897972040690244,0.5747958222536886
1051896,6.0,42.25,-0.8215611560434958,-0.33142552848679596
1051896,6.25,42.25,-0.691701458791017,-0.3020785241514621
1051896,6.5,42.25,-0.5179439115405688,-0.1595864428606253
1051896,6.75,42.25,-0.35828410723986015,0.004473918724854586
1051896,7.0,42.25,-0.2361036683421175,0.12362982789361898
1051896,7.25,42.25,-0.09363623349231065,0.27107200630125927
1051896,7.5,42.25,0.045621959059994444,0.46730799914596033
1051896,7.75,42.25,0.1671147031797009,0.6656654621835771
1051896,8.0,42.25,0.4835689168726347,0.7851749497178275
1051896,6.0,42.0,-0.5901518632343566,-0.15658102675399466
1051896,6.25,42.0,-0.3943880830867541,-0.08834040221520678
1051896,6.5,42.0,-0.19908276612450881,-0.012674632001213881
1051896,6.75,42.0,-0.028649076967901754,0.15934124280769968
1051896,7.0,42.0,0.12126838464396261,0.2300569159048893
1051896,7.25,42.0,0.25995349821457103,0.28822055702732774
1051896,7.5,42.0,0.4068909491216124,0.49913005203969574
1051896,7.75,42.0,0.5699892273125013,0.6407381874168179
1051896,8.0,42.0,0.7199066889243657,0.7339060867223652
1052640,6.0,44.0,-2.3807944494439557,1.4057049811456663
1052640,6.25,44.0,-2.2606770948803216,1.7142021050321559
1052640,6.5,44.0,-2.1317343239985576,2.154230380879418
1052640,6.75,44.0,-1.9911007418901803,2.7162431928193325
1052640,7.0,44.0,-1.1463823228692018,1.8269936036221732
1052640,7.25,44.0,-0.4491744337369613,1.1995687940673587
1052640,7.5,44.0,0.11141142615877886,0.8465207961296396
