time,lon,lat,v,u
1042404,0.375,35.875,--,--
1042404,0.625,35.875,--,--
1042404,0.875,35.875,--,--
1042404,1.125,35.875,--,--
1042404,1.375,35.875,--,--
1042404,1.625,35.875,--,--
1042404,1.875,35.875,--,--
1042404,2.125,35.875,--,--
1042404,2.375,35.875,--,--
1042404,2.625,35.875,--,--
1042404,2.875,35.875,--,--
1042404,3.125,35.875,--,--
1042404,3.375,35.875,--,--
1042404,3.625,35.875,--,--
1042404,3.875,35.875,--,--
1042404,4.125,35.875,--,--
1042404,4.375,35.875,--,--
1042404,4.625,35.875,--,--
1042404,4.875,35.875,--,--
1042404,5.125,35.875,--,--
1042404,5.375,35.875,--,--
1042404,5.625,35.875,--,--
1042404,5.875,35.875,--,--
1042404,6.125,35.875,--,--
1042404,6.375,35.875,--,--
1042404,6.625,35.875,--,--
1042404,6.875,35.875,--,--
1042404,7.125,35.875,--,--
1042404,7.375,35.875,--,--
1042404,7.625,35.875,--,--
1042404,7.875,35.875,--,--
1042404,8.125,35.875,--,--
1042404,8.375,35.875,--,--
1042404,8.625,35.875,--,--
1042404,8.875,35.875,--,--
1042404,9.125,35.875,--,--
1042404,9.375,35.875,--,--
1042404,9.625,35.875,--,--
1042404,9.875,35.875,--,--
1042404,10.125,35.875,--,--
1042404,10.375,35.875,--,--
1042404,10.625,35.875,-2.95,3.84
1042404,10.875,35.875,-3.06,3.83
1042404,11.125,35.875,-3.14,3.81
1042404,11.375,35.875,-3.17,3.72
1042404,11.625,35.875,-3.2800000000000002,3.85
1042404,11.875,35.875,-3.4,3.83
1042404,12.125,35.875,-3.45,3.96
1042404,12.375,35.875,-3.62,4.33
1042404,12.625,35.875,-3.67,4.57
1042404,12.875,35.875,-3.63,4.59
1042404,13.125,35.875,-3.6,4.53
1042404,13.375,35.875,-3.54,4.53
1042404,13.625,35.875,-3.68,4.49
1042404,13.875,35.875,-3.85,4.46
1042404,14.125,35.875,-3.84,4.26
1042404,14.375,35.875,--,--
1042404,14.625,35.875,-3.43,4.0200000000000005
1042404,14.875,35.875,-3.2800000000000002,3.71
1042404,0.125,36.125,1.35,-0.03
1042404,0.375,36.125,--,--
1042404,0.625,36.125,--,--
1042404,0.875,36.125,--,--
1042404,1.125,36.125,--,--
1042404,1.375,36.125,--,--
1042404,1.625,36.125,--,--
1042404,1.875,36.125,--,--
1042404,2.125,36.125,--,--
1042404,2.375,36.125,--,--
1042404,2.625,36.125,--,--
1042404,2.875,36.125,--,--
1042404,3.125,36.125,--,--
1042404,3.375,36.125,--,--
1042404,3.625,36.125,--,--
1042404,3.875,36.125,--,--
1042404,4.125,36.125,--,--
1042404,4.375,36.125,--,--
1042404,4.625,36.125,--,--
1042404,4.875,36.125,--,--
1042404,5.125,36.125,--,--
1042404,5.375,36.125,--,--
1042404,5.625,36.125,--,--
1042404,5.875,36.125,--,--
